"filename", "language", "Python", "BibTeX", "Markdown", "XML", "YAML", "Ini", "comment", "blank", "total"
"/home/eudald/Escriptori/doctorat/cogstim/scripts/generate_llm_docs.py", "Python", 43, 0, 0, 0, 0, 0, 7, 24, 74
"/home/eudald/Escriptori/doctorat/cogstim/scripts/mts_area_report.py", "Python", 56, 0, 0, 0, 0, 0, 4, 19, 79
"/home/eudald/Escriptori/doctorat/cogstim/scripts/mts_check_equalization.py", "Python", 83, 0, 0, 0, 0, 0, 4, 17, 104
"/home/eudald/Escriptori/doctorat/cogstim/tests/__init__.py", "Python", 5, 0, 0, 0, 0, 0, 1, 2, 8
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_ans_dots_updates.py", "Python", 297, 0, 0, 0, 0, 0, 14, 51, 362
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_base_generator.py", "Python", 117, 0, 0, 0, 0, 0, 24, 47, 188
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_cli_integration.py", "Python", 223, 0, 0, 0, 0, 0, 16, 66, 305
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_config.py", "Python", 50, 0, 0, 0, 0, 0, 16, 20, 86
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_dots.py", "Python", 319, 0, 0, 0, 0, 0, 18, 56, 393
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_dots_core_new_methods.py", "Python", 213, 0, 0, 0, 0, 0, 22, 57, 292
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_fixation.py", "Python", 171, 0, 0, 0, 0, 0, 6, 30, 207
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_integration_end_to_end.py", "Python", 815, 0, 0, 0, 0, 0, 73, 183, 1071
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_lines_generator.py", "Python", 146, 0, 0, 0, 0, 0, 6, 31, 183
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_match_to_sample.py", "Python", 231, 0, 0, 0, 0, 0, 9, 37, 277
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_points.py", "Python", 33, 0, 0, 0, 0, 0, 4, 13, 50
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_points_generator.py", "Python", 19, 0, 0, 0, 0, 0, 0, 4, 23
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_scripts.py", "Python", 269, 0, 0, 0, 0, 0, 30, 52, 351
"/home/eudald/Escriptori/doctorat/cogstim/tests/test_shapes_creator.py", "Python", 217, 0, 0, 0, 0, 0, 11, 33, 261
"Total", "-", 6405, 136, 5705, 406, 40, 25, 465, 3187, 16369
